age,job,marital,education,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,class
37,blue-collar,divorced,secondary,316,yes,no,unknown,may,642,2,-1,0,unknown,engage
34,management,married,tertiary,2287,yes,no,unknown,may,895,4,-1,0,unknown,engage
38,admin.,divorced,secondary,198,yes,no,unknown,may,431,2,-1,0,unknown,engage
28,admin.,single,secondary,460,yes,no,unknown,may,741,6,-1,0,unknown,engage
31,management,divorced,tertiary,1145,yes,no,unknown,may,1272,4,-1,0,unknown,engage
59,services,married,secondary,-22,yes,no,unknown,may,748,3,-1,0,unknown,engage
24,blue-collar,married,secondary,685,yes,no,unknown,may,896,3,-1,0,unknown,engage
26,services,single,secondary,901,yes,no,unknown,may,764,2,-1,0,unknown,engage
59,retired,single,secondary,351,yes,no,unknown,may,1063,5,-1,0,unknown,engage
30,entrepreneur,single,primary,0,yes,yes,unknown,may,1051,1,-1,0,unknown,engage
37,admin.,married,secondary,274,yes,no,unknown,may,731,3,-1,0,unknown,engage
30,admin.,single,secondary,-213,yes,yes,unknown,may,751,1,-1,0,unknown,engage
25,blue-collar,married,secondary,97,yes,no,unknown,may,709,1,-1,0,unknown,engage
44,services,divorced,secondary,51,yes,yes,unknown,may,3094,2,-1,0,unknown,engage
29,management,married,tertiary,314,no,no,unknown,may,938,2,-1,0,unknown,engage
26,management,single,tertiary,6840,yes,no,unknown,may,1560,2,-1,0,unknown,engage
26,technician,single,secondary,668,yes,no,unknown,may,576,3,-1,0,unknown,engage
27,services,single,secondary,54,yes,no,unknown,may,543,2,-1,0,unknown,engage
25,self-employed,single,secondary,1242,yes,no,unknown,may,615,2,-1,0,unknown,engage
28,management,married,secondary,292,yes,no,unknown,may,507,1,-1,0,unknown,engage
23,services,single,secondary,665,yes,no,unknown,may,1183,1,-1,0,unknown,engage
34,management,single,tertiary,1058,yes,no,unknown,may,864,2,-1,0,unknown,engage
28,student,single,secondary,949,yes,no,unknown,may,1730,1,-1,0,unknown,engage
51,entrepreneur,married,unknown,606,yes,no,unknown,may,560,9,-1,0,unknown,engage
35,blue-collar,married,secondary,0,yes,yes,unknown,may,543,1,-1,0,unknown,engage
35,admin.,married,secondary,404,yes,no,unknown,may,539,1,-1,0,unknown,engage
56,blue-collar,married,secondary,249,yes,no,unknown,may,791,2,-1,0,unknown,engage
45,unemployed,divorced,secondary,3354,yes,no,unknown,may,746,1,-1,0,unknown,engage
60,blue-collar,divorced,secondary,0,yes,no,unknown,may,1207,1,-1,0,unknown,engage
56,technician,married,secondary,589,yes,no,unknown,may,535,2,-1,0,unknown,engage
27,management,single,tertiary,12956,yes,no,unknown,may,789,3,-1,0,unknown,engage
30,admin.,married,secondary,873,yes,no,unknown,may,792,3,-1,0,unknown,engage
45,blue-collar,divorced,primary,594,yes,no,unknown,may,833,2,-1,0,unknown,engage
29,blue-collar,single,secondary,-20,yes,no,unknown,may,814,2,-1,0,unknown,engage
38,management,divorced,tertiary,4692,yes,no,unknown,may,1363,2,-1,0,unknown,engage
30,blue-collar,married,secondary,486,yes,no,unknown,may,1109,3,-1,0,unknown,engage
44,blue-collar,single,primary,1593,yes,no,unknown,may,828,3,-1,0,unknown,engage
36,management,single,tertiary,7606,yes,no,unknown,may,917,1,-1,0,unknown,engage
38,technician,married,secondary,226,yes,no,unknown,may,762,3,-1,0,unknown,engage
36,blue-collar,single,secondary,366,yes,yes,unknown,may,1133,2,-1,0,unknown,engage
37,management,divorced,secondary,16,yes,no,unknown,may,638,1,-1,0,unknown,engage
35,management,single,tertiary,565,yes,no,unknown,may,763,1,-1,0,unknown,engage
38,admin.,divorced,secondary,19,yes,no,unknown,may,604,2,-1,0,unknown,engage
40,services,married,primary,1082,yes,no,unknown,may,854,2,-1,0,unknown,engage
42,unemployed,divorced,secondary,1713,yes,no,unknown,may,855,2,-1,0,unknown,engage
46,management,divorced,tertiary,14481,yes,no,unknown,may,1269,1,-1,0,unknown,engage
35,technician,divorced,secondary,5724,yes,no,unknown,may,691,10,-1,0,unknown,engage
34,technician,divorced,secondary,1451,yes,no,unknown,may,1097,15,-1,0,unknown,engage
32,services,married,secondary,-34,yes,no,unknown,may,1236,2,-1,0,unknown,engage
50,unemployed,married,secondary,3674,yes,no,unknown,may,886,3,-1,0,unknown,engage
35,blue-collar,married,secondary,698,yes,yes,unknown,may,1343,3,-1,0,unknown,engage
36,technician,single,secondary,4136,yes,no,unknown,may,812,3,-1,0,unknown,engage
53,blue-collar,divorced,primary,2656,yes,no,unknown,may,1980,2,-1,0,unknown,engage
46,management,single,tertiary,2904,yes,no,unknown,may,984,2,-1,0,unknown,engage
26,management,single,tertiary,1004,yes,no,unknown,may,228,2,-1,0,unknown,engage
45,technician,single,secondary,410,yes,no,unknown,may,891,4,-1,0,unknown,engage
31,unemployed,divorced,primary,0,yes,no,unknown,may,745,12,-1,0,unknown,engage
29,management,single,tertiary,0,yes,no,unknown,may,539,12,-1,0,unknown,engage
53,entrepreneur,single,secondary,62,yes,no,unknown,may,1044,5,-1,0,unknown,engage
27,blue-collar,married,primary,416,yes,no,unknown,may,1193,2,-1,0,unknown,engage
39,management,married,tertiary,2763,yes,no,unknown,jun,526,2,-1,0,unknown,engage
36,services,married,secondary,2984,yes,no,unknown,jun,394,1,-1,0,unknown,engage
41,blue-collar,married,primary,143,yes,yes,unknown,jun,659,2,-1,0,unknown,engage
36,services,married,primary,0,yes,no,unknown,jun,1036,1,-1,0,unknown,engage
32,technician,married,secondary,696,yes,no,unknown,jun,815,1,-1,0,unknown,engage
35,services,married,secondary,152,yes,no,unknown,jun,563,1,-1,0,unknown,engage
36,management,single,tertiary,-78,yes,no,unknown,jun,1068,1,-1,0,unknown,engage
35,management,married,tertiary,867,yes,no,unknown,jun,230,3,-1,0,unknown,engage
30,blue-collar,single,secondary,953,yes,no,unknown,jun,747,2,-1,0,unknown,engage
42,blue-collar,married,secondary,443,yes,no,unknown,jun,671,5,-1,0,unknown,engage
42,technician,single,secondary,-1129,yes,no,unknown,jun,555,5,-1,0,unknown,engage
32,blue-collar,married,primary,415,yes,no,unknown,jun,777,4,-1,0,unknown,engage
29,blue-collar,single,secondary,260,yes,no,unknown,jun,707,14,-1,0,unknown,engage
44,management,divorced,tertiary,-411,yes,no,unknown,jun,432,4,-1,0,unknown,engage
32,technician,single,secondary,1279,yes,no,unknown,jun,1173,3,-1,0,unknown,engage
31,unemployed,married,secondary,86,yes,yes,unknown,jun,963,2,-1,0,unknown,engage
40,self-employed,married,secondary,-754,yes,yes,unknown,jun,941,3,-1,0,unknown,engage
43,entrepreneur,married,secondary,0,no,no,unknown,jun,1025,7,-1,0,unknown,engage
27,management,single,secondary,178,yes,no,unknown,jun,732,2,-1,0,unknown,engage
37,services,single,secondary,278,yes,no,unknown,jun,1045,3,-1,0,unknown,engage
23,services,single,secondary,425,yes,no,unknown,jun,768,1,-1,0,unknown,engage
25,management,married,primary,168,yes,no,unknown,jun,801,1,-1,0,unknown,engage
26,blue-collar,single,secondary,-36,yes,no,unknown,jun,482,2,-1,0,unknown,engage
47,blue-collar,divorced,primary,126,yes,no,unknown,jun,2456,2,-1,0,unknown,engage
35,admin.,married,secondary,-87,yes,no,unknown,jun,1363,7,-1,0,unknown,engage
32,technician,single,tertiary,6281,yes,no,unknown,jun,1336,4,-1,0,unknown,engage
45,management,divorced,secondary,644,yes,no,unknown,jun,633,1,-1,0,unknown,engage
30,admin.,divorced,secondary,377,yes,no,unknown,jun,524,15,-1,0,unknown,engage
29,services,single,secondary,-271,yes,no,unknown,jun,578,1,-1,0,unknown,engage
38,blue-collar,married,primary,5839,yes,no,unknown,jun,984,2,-1,0,unknown,engage
23,blue-collar,single,secondary,492,yes,no,unknown,jun,638,1,-1,0,unknown,engage
27,management,single,tertiary,99,yes,no,unknown,jun,767,2,-1,0,unknown,engage
27,management,single,tertiary,-713,yes,no,unknown,jun,525,2,-1,0,unknown,engage
29,services,single,secondary,32,yes,no,unknown,jun,563,1,-1,0,unknown,engage
30,self-employed,married,tertiary,543,yes,yes,unknown,jun,1449,6,-1,0,unknown,engage
36,blue-collar,married,primary,403,yes,no,unknown,jun,920,1,-1,0,unknown,engage
35,admin.,divorced,secondary,437,yes,no,unknown,jun,908,1,-1,0,unknown,engage
36,blue-collar,married,secondary,1772,no,no,unknown,jun,208,1,-1,0,unknown,engage
59,retired,divorced,primary,-88,yes,no,unknown,jun,910,2,-1,0,unknown,engage
47,entrepreneur,married,secondary,0,no,no,unknown,jun,1446,1,-1,0,unknown,engage
58,entrepreneur,married,tertiary,853,no,no,unknown,jun,1149,2,-1,0,unknown,engage
37,management,single,tertiary,240,no,no,unknown,jun,1123,1,-1,0,unknown,engage
46,admin.,single,secondary,849,yes,no,unknown,jun,508,2,-1,0,unknown,engage
43,blue-collar,single,secondary,318,yes,no,unknown,jun,736,2,-1,0,unknown,engage
27,management,single,tertiary,703,yes,no,unknown,jun,590,3,-1,0,unknown,engage
38,services,divorced,secondary,61,no,no,unknown,jun,636,1,-1,0,unknown,engage
53,housemaid,married,primary,104,no,yes,unknown,jun,701,1,-1,0,unknown,engage
47,blue-collar,married,secondary,1996,no,no,unknown,jun,761,2,-1,0,unknown,engage
56,housemaid,divorced,primary,1238,no,no,unknown,jun,1558,1,-1,0,unknown,engage
41,housemaid,married,secondary,879,no,no,unknown,jun,1053,2,-1,0,unknown,engage
29,self-employed,married,secondary,425,yes,no,unknown,jun,562,15,-1,0,unknown,engage
50,technician,married,secondary,416,yes,no,unknown,jun,494,5,-1,0,unknown,engage
45,blue-collar,divorced,primary,844,no,no,unknown,jun,1018,3,-1,0,unknown,engage
35,blue-collar,married,secondary,860,yes,no,unknown,jun,884,4,-1,0,unknown,engage
26,technician,single,secondary,639,yes,no,unknown,jun,709,5,-1,0,unknown,engage
26,admin.,married,secondary,710,yes,yes,unknown,jun,1276,2,-1,0,unknown,engage
37,blue-collar,married,unknown,1508,no,yes,unknown,jun,381,2,-1,0,unknown,engage
30,admin.,single,secondary,223,yes,no,unknown,jun,862,11,-1,0,unknown,engage
38,management,single,tertiary,619,yes,no,unknown,jun,460,4,-1,0,unknown,engage
37,services,divorced,secondary,319,yes,no,unknown,jun,467,3,-1,0,unknown,engage
53,technician,married,secondary,480,no,no,unknown,jun,648,2,-1,0,unknown,engage
29,blue-collar,single,primary,213,yes,no,unknown,jun,2653,3,-1,0,unknown,engage
35,management,single,tertiary,68,no,no,unknown,jun,1085,1,-1,0,unknown,engage
28,blue-collar,married,secondary,2788,yes,no,unknown,jun,369,2,-1,0,unknown,engage
55,blue-collar,married,unknown,7561,no,no,unknown,jun,685,3,-1,0,unknown,engage
49,management,divorced,secondary,-46,yes,no,unknown,jun,1055,10,-1,0,unknown,engage
50,services,married,secondary,1595,no,no,unknown,jun,882,1,-1,0,unknown,engage
43,management,single,tertiary,1046,no,no,unknown,jun,901,1,-1,0,unknown,engage
58,self-employed,divorced,tertiary,1382,no,no,unknown,jun,700,1,-1,0,unknown,engage
38,technician,married,primary,217,yes,no,unknown,jun,491,6,-1,0,unknown,engage
48,blue-collar,divorced,primary,183,no,no,unknown,jun,940,1,-1,0,unknown,engage
59,management,married,secondary,1321,no,no,unknown,jun,3881,3,-1,0,unknown,engage
58,blue-collar,married,secondary,25,no,no,unknown,jun,486,3,-1,0,unknown,engage
36,self-employed,single,tertiary,4844,no,no,unknown,jun,1137,3,-1,0,unknown,engage
42,entrepreneur,married,tertiary,5345,no,no,unknown,jun,878,3,-1,0,unknown,engage
41,admin.,single,secondary,812,no,yes,unknown,jun,583,4,-1,0,unknown,engage
42,admin.,married,secondary,105,no,no,unknown,jun,1159,4,-1,0,unknown,engage
39,management,married,tertiary,-190,no,yes,unknown,jun,893,8,-1,0,unknown,engage
57,housemaid,married,primary,625,no,yes,unknown,jun,867,1,-1,0,unknown,engage
52,retired,married,unknown,293,no,no,unknown,jun,706,1,-1,0,unknown,engage
59,retired,married,unknown,1033,no,no,unknown,jun,1199,1,-1,0,unknown,engage
56,blue-collar,married,secondary,1210,no,no,unknown,jun,935,1,-1,0,unknown,engage
49,management,married,tertiary,64,no,no,unknown,jun,586,1,-1,0,unknown,engage
35,blue-collar,divorced,unknown,164,no,no,unknown,jun,967,2,-1,0,unknown,engage
36,unemployed,married,secondary,1766,no,no,unknown,jun,595,2,-1,0,unknown,engage
40,admin.,single,tertiary,1248,no,no,unknown,jun,1290,2,-1,0,unknown,engage
55,blue-collar,married,secondary,0,no,no,unknown,jun,614,2,-1,0,unknown,engage
58,admin.,married,secondary,826,no,no,unknown,jun,885,1,-1,0,unknown,engage
39,self-employed,married,tertiary,2630,no,no,unknown,jun,651,5,-1,0,unknown,engage
47,housemaid,single,tertiary,3727,no,no,unknown,jun,993,6,-1,0,unknown,engage
40,management,married,secondary,406,yes,no,unknown,jun,577,2,-1,0,unknown,engage
35,blue-collar,married,tertiary,2999,no,no,unknown,jun,1141,6,-1,0,unknown,engage
48,blue-collar,married,secondary,1000,yes,no,unknown,jun,1268,2,-1,0,unknown,engage
48,management,divorced,tertiary,503,no,yes,unknown,jun,1243,7,-1,0,unknown,engage
24,blue-collar,single,secondary,-203,yes,no,unknown,jun,465,3,-1,0,unknown,engage
49,blue-collar,married,primary,361,yes,no,unknown,jun,513,2,-1,0,unknown,engage
36,blue-collar,married,secondary,274,yes,no,unknown,jun,686,11,-1,0,unknown,engage
52,retired,divorced,tertiary,3687,yes,yes,unknown,jun,741,4,-1,0,unknown,engage
42,entrepreneur,single,unknown,323,no,no,unknown,jun,617,1,-1,0,unknown,engage
36,services,married,secondary,981,no,no,unknown,jun,1093,1,-1,0,unknown,engage
36,blue-collar,divorced,secondary,638,yes,no,unknown,jun,1395,2,-1,0,unknown,engage
48,unemployed,single,tertiary,3229,no,no,unknown,jun,1089,1,-1,0,unknown,engage
51,management,single,secondary,1610,yes,no,unknown,jun,1248,3,-1,0,unknown,engage
51,blue-collar,married,secondary,33,no,yes,unknown,jun,721,3,-1,0,unknown,engage
46,technician,married,secondary,536,yes,no,unknown,jun,750,2,-1,0,unknown,engage
37,management,married,tertiary,0,no,no,unknown,jun,637,6,-1,0,unknown,engage
36,entrepreneur,married,tertiary,3057,no,no,unknown,jun,2769,4,-1,0,unknown,engage
47,management,married,secondary,2892,no,no,unknown,jun,556,1,-1,0,unknown,engage
40,technician,divorced,tertiary,0,no,no,unknown,jun,522,1,-1,0,unknown,engage
38,student,single,tertiary,3316,no,no,unknown,jun,1345,3,-1,0,unknown,engage
40,management,married,secondary,106,no,no,unknown,jun,676,2,-1,0,unknown,engage
39,blue-collar,married,primary,2303,yes,no,unknown,jun,775,3,-1,0,unknown,engage
60,management,married,tertiary,3301,no,no,unknown,jun,2621,3,-1,0,unknown,engage
39,self-employed,single,tertiary,426,no,no,unknown,jun,1029,1,-1,0,unknown,engage
51,services,divorced,secondary,9,no,no,unknown,jun,371,2,-1,0,unknown,engage
27,admin.,married,secondary,-97,yes,no,unknown,jun,1528,2,-1,0,unknown,engage
41,management,single,tertiary,11008,no,no,unknown,jun,1540,1,-1,0,unknown,engage
42,blue-collar,single,primary,4930,no,no,unknown,jun,973,1,-1,0,unknown,engage
41,entrepreneur,married,secondary,707,no,no,unknown,jun,707,1,-1,0,unknown,engage
33,technician,married,secondary,4,yes,yes,unknown,jun,625,2,-1,0,unknown,engage
46,admin.,married,secondary,126,no,no,unknown,jun,1255,1,-1,0,unknown,engage
31,blue-collar,married,secondary,671,yes,no,unknown,jun,704,4,-1,0,unknown,engage
41,blue-collar,married,primary,219,no,yes,unknown,jun,1574,3,-1,0,unknown,engage
41,blue-collar,divorced,secondary,3622,no,no,unknown,jun,1135,4,-1,0,unknown,engage
55,retired,divorced,secondary,1580,no,yes,unknown,jun,1007,1,-1,0,unknown,engage
53,technician,married,secondary,1319,no,no,unknown,jun,1318,3,-1,0,unknown,engage
